id,url,title,date,origin,kind1,kind2,kind3,kind4,kind5,kind6,kind7,kind8,kind9,kind10,kind11
20062028,http://jhsjk.people.cn/article/20062028,新年京剧晚会在京举行 习近平等出席观看,2012-12-31 0:00,人民网－人民日报,活动,,,,,,,,,,
20062495,http://jhsjk.people.cn/article/20062495,组图：习近平到河北阜平看望慰问困难群众,2012-12-31 0:00,新华社,考察,,,,,,,,,,
20067810,http://jhsjk.people.cn/article/20067810,习近平主持会议研究部署党风廉政建设和反腐败工作,2013-1-1 0:00,人民网-人民日报,原文,会议,,,,,,,,,
20067838,http://jhsjk.people.cn/article/20067838,《求是》杂志发表习近平总书记重要文章,2013-1-1 0:00,人民网-人民日报,原文,,,,,,,,,,
20069463,http://jhsjk.people.cn/article/20069463,习近平：在全国政协新年茶话会上的讲话,2013-1-1 0:00,新华网,讲话,原文,,,,,,,,,
20070702,http://jhsjk.people.cn/article/20070702,习近平主持政治局集体学习：以更大的政治勇气和智慧深化改革 ,2013-1-2 0:00,人民网－人民日报,会议,,,,,,,,,,
20070711,http://jhsjk.people.cn/article/20070711,习近平在全国政协新年茶话会上的讲话,2013-1-2 0:00,人民网－人民日报,讲话,原文,政治,国内最新讲话,,,,,,,
20083095,http://jhsjk.people.cn/article/20083095,全面贯彻落实党的十八大精神要突出抓好六个方面工作,2013-1-4 0:00,求是,经济,原文,国内最新讲话,党建,,,,,,,
20099326,http://jhsjk.people.cn/article/20099326,习近平谈“中国特色社会主义”：道路就是党的生命,2013-1-5 0:00,新华网,活动,,,,,,,,,,
20101215,http://jhsjk.people.cn/article/20101215,习近平：在发展中国特色社会主义实践中不断发现、创造、前进,2013-1-6 0:00,人民网－人民日报,活动,,,,,,,,,,
20125182,http://jhsjk.people.cn/article/20125182,习近平：努力让人民在每一个司法案件中都能感受到公平正义,2013-1-8 0:00,人民网－人民日报,会议,,,,,,,,,,
20134752,http://jhsjk.people.cn/article/20134752,习近平：坚定不移地发展中俄全面战略协作伙伴关系是中国外交优先方向,2013-1-8 0:00,新华网,会见,,,,,,,,,,
20135687,http://jhsjk.people.cn/article/20135687,习近平:坚定发展中俄全面战略协作伙伴关系是中国外交优先方向,2013-1-9 0:00,人民网－人民日报,会见,,,,,,,,,,
20250955,http://jhsjk.people.cn/article/20250955,中共中央、国务院隆重举行国家科学技术奖励大会,2013-1-18 0:00,新华网,会议,,,,,,,,,,
